City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Sept-Iles,CA,50.2001,-66.3821,34.05,95,100,3.44,fog
280,Tarakan,ID,3.3,117.6333,76.5,100,40,1.14,moderate rain
281,Wote,KE,-1.7808,37.6288,65.07,77,36,2.15,scattered clouds
282,Vardo,NO,70.3705,31.1107,37.65,86,100,23.44,overcast clouds
283,Hauterive,FR,46.0901,3.4459,39.96,83,29,0.49,scattered clouds
284,Garcia Hernandez,PH,9.6144,124.2946,75.92,89,100,12.5,heavy intensity rain
285,Nuuk,GL,64.1835,-51.7216,25.88,80,40,19.57,scattered clouds
286,Alice Springs,AU,-23.7,133.8833,51.35,62,0,5.75,clear sky
287,Pathein,MM,16.7833,94.7333,77.49,84,7,6.42,clear sky
288,Pevek,RU,69.7008,170.3133,-18.49,96,41,2.64,scattered clouds
289,Faanui,PF,-16.4833,-151.75,82.6,74,97,21.41,overcast clouds
290,Antalaha,MG,-14.9003,50.2788,73.17,87,70,7.61,broken clouds
291,Cozumel,MX,20.5083,-86.9458,80.94,61,40,13.0,scattered clouds
292,Kamskiye Polyany,RU,55.4307,51.4171,45.41,95,100,7.14,overcast clouds
293,San Cristobal,VE,7.7669,-72.225,82.58,40,55,6.49,broken clouds
294,Asau,RO,46.4333,26.4,47.95,88,100,2.98,overcast clouds
295,Madimba,TZ,-10.4,40.3333,76.12,89,7,7.16,clear sky
296,Sawakin,SD,19.1059,37.3321,80.49,67,0,6.17,clear sky
297,Kyzyl-Suu,KG,42.3414,78.0056,46.63,67,49,7.18,light rain
298,Palmares Do Sul,BR,-30.2578,-50.5097,70.0,86,50,6.82,scattered clouds
299,Boke,GN,10.9409,-14.2967,77.02,77,9,5.7,clear sky
300,Vestmanna,FO,62.1564,-7.1664,31.12,93,100,11.5,overcast clouds
301,Santa Rosalia,MX,27.3167,-112.2833,79.14,46,4,8.34,clear sky
302,Mangai,CD,-4.05,19.5333,71.02,96,88,1.61,light rain
303,Dambulla,LK,7.86,80.6517,72.64,95,99,4.14,overcast clouds
304,San Jose,US,37.3394,-121.895,79.88,27,0,16.11,clear sky
305,Hede,CN,33.7681,120.2517,57.06,75,98,7.76,overcast clouds
306,Bandundu,CD,-3.3167,17.3667,75.15,84,91,1.28,light rain
307,Meulaboh,ID,4.1363,96.1285,77.49,87,86,3.2,overcast clouds
308,Otorohanga,NZ,-38.1833,175.2,57.18,72,6,0.2,clear sky
309,Amloh,IN,30.6084,76.2319,78.75,13,0,2.04,clear sky
310,Richards Bay,ZA,-28.783,32.0377,67.12,85,100,3.18,light rain
311,Kargasok,RU,59.0556,80.8572,5.38,95,82,6.55,broken clouds
312,Castro,BR,-24.7911,-50.0119,70.83,74,88,2.93,overcast clouds
313,Maldonado,UY,-34.6667,-54.9167,70.23,79,99,9.53,overcast clouds
314,Trinidad,BO,-14.8333,-64.9,89.58,66,75,0.0,broken clouds
315,Celestun,MX,20.8667,-90.4,79.52,43,83,22.1,broken clouds
316,Veraval,IN,20.9,70.3667,80.26,72,0,8.46,clear sky
317,Lauterbach,DE,50.6333,9.4,38.01,91,19,4.97,few clouds
318,Sambava,MG,-14.2667,50.1667,75.36,88,97,11.68,overcast clouds
319,Fortuna,US,40.5982,-124.1573,56.93,58,0,20.71,clear sky
320,Bathurst,AU,-33.4166,149.5806,59.83,93,69,3.06,broken clouds
321,Port Augusta,AU,-32.5,137.7667,63.36,49,19,4.18,few clouds
322,Villa Union,MX,23.2,-106.2333,80.56,61,0,6.91,clear sky
323,Mrakovo,RU,52.7161,56.6244,44.67,86,100,13.33,overcast clouds
324,George,ZA,-33.963,22.4617,56.75,94,0,2.3,clear sky
325,Lorengau,PG,-2.0226,147.2712,80.44,82,92,7.85,overcast clouds
326,Araxa,BR,-19.5933,-46.9406,73.36,83,0,3.44,clear sky
327,Tiksi,RU,71.6872,128.8694,-13.95,100,90,4.38,overcast clouds
328,Jian,CN,27.1172,114.9793,66.31,57,83,3.69,broken clouds
329,Lincoln,US,40.8,-96.667,70.18,22,0,19.57,clear sky
330,Tasiilaq,GL,65.6145,-37.6368,24.96,93,85,2.48,overcast clouds
331,Kawardha,IN,22.0167,81.25,81.37,21,62,4.83,broken clouds
332,Fomboni,KM,-12.28,43.7425,83.34,74,94,9.64,overcast clouds
333,Gualeguay,AR,-33.1416,-59.3097,79.43,51,3,6.51,clear sky
334,Norman Wells,CA,65.282,-126.8329,15.84,57,75,16.11,light snow
335,Kalevala,RU,65.2,31.1667,29.07,87,68,8.25,broken clouds
336,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,8.05,scattered clouds
337,Zhigansk,RU,66.7697,123.3711,1.17,97,30,11.27,scattered clouds
338,Alofi,NU,-19.0595,-169.9187,84.09,84,11,5.75,few clouds
339,Banfora,BF,10.6333,-4.7667,95.79,25,100,3.0,overcast clouds
340,Lata,PT,40.1629,-8.3327,58.91,96,80,1.32,broken clouds
341,Saint George,US,37.1041,-113.5841,85.24,9,0,19.57,clear sky
